2021/12/16 19:36:07 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateMobileCaptcha err: 只能向已回复授权信息的手机号发送","time":1639654567989617900}
2021/12/16 19:36:50 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateMobileCaptcha err: 只能向已回复授权信息的手机号发送","time":1639654610235565700}
2021/12/16 19:37:08 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateMobileCaptcha err: 只能向已回复授权信息的手机号发送","time":1639654628623750800}
2021/12/16 19:40:54 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CheckMobileCaptcha err: 验证码失效","time":1639654854008604700}
2021/12/16 19:42:44 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CheckMobileCaptcha err: 验证码失效","time":1639654964275021700}
2021/12/16 19:44:41 {"callers":["E:/go/src/TicketSales/main.go: 22 main.init.0"],"level":"error","message":"svc.CheckAuth err: auth info does not exist.","time":1639655081490115900}
2021/12/25 18:50:59 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovieList err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '%?%) LIMIT 1 OFFSET 0' at line 1","time":1640429459931095000}
2021/12/26 15:38:53 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504333506307200}
2021/12/26 15:39:29 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504369083608500}
2021/12/26 15:39:57 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504397899819600}
2021/12/26 15:42:03 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504523761213400}
2021/12/26 15:46:37 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504797954685000}
2021/12/26 15:47:13 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.' in 'where clause'","time":1640504833270482700}
2021/12/26 15:47:46 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: Error 1054: Unknown column 'actor.id' in 'where clause'","time":1640504866978369700}
2021/12/27 15:43:10 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: City为必填字段","time":1640590990533006700}
2021/12/27 15:51:27 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: record not found","time":1640591487848611600}
2021/12/27 15:52:43 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"svc.GetMovie err: record not found","time":1640591563456747800}
2022/01/04 17:25:17 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: City为必填字段","time":1641288317896981400}
2022/01/08 16:31:08 {"callers":["E:/go/src/movie/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: City为必填字段","time":1641630668763578700}
